ped. #,time (s),x (cm),y (cm)
3,19.219392,-268.224,-62.1127
3,19.252759,-263.779,-62.4547
3,19.286126,-259.215,-63.2307
3,19.319493,-254.973,-63.3951
3,19.35286,-249.416,-65.5324
3,19.386227,-245.569,-64.25
3,19.419594,-240.54,-64.6524
3,19.452961,-235.737,-66.3873
3,19.486328,-231.89,-65.9599
3,19.519695,-227.385,-65.6639
3,19.553062,-223.341,-65.9599
3,19.586429,-218.639,-66.3873
3,19.619796,-213.338,-65.8744
3,19.653163,-209.235,-65.5324
3,19.68653,-205.158,-65.6639
3,19.719897,-200.173,-64.8485
3,19.753264,-194.701,-65.5324
3,19.786631,-192.136,-64.6775
3,19.819998,-187.204,-63.9541
3,19.853365,-182.732,-65.5324
3,19.886732,-178.287,-63.4806
3,19.920099,-173.67,-63.1387
3,19.953466,-169.251,-62.2443
3,19.986833,-164.779,-62.9677
3,20.0202,-160.163,-61.9418
3,20.053567,-155.802,-61.6853
3,20.086934,-151.1,-61.2578
3,20.120301,-147.168,-61.4288
3,20.153668,-142.722,-61.7708
3,20.187035,-137.422,-62.9677
3,20.220402,-134.002,-62.9677
3,20.253769,-130.582,-62.1127
3,20.287136,-126.308,-62.9677
3,20.320503,-122.204,-62.4547
3,20.35387,-117.717,-63.4473
3,20.387237,-112.8,-63.4806
3,20.420604,-108.556,-64.7278
3,20.453971,-105.79,-65.5324
3,20.487338,-99.8053,-67.2423
3,20.520705,-95.8727,-66.5583
3,20.554072,-91.5981,-67.9262
3,20.587439,-86.1266,-68.9521
3,20.620806,-82.707,-68.9521
3,20.654173,-78.4324,-69.807
3,20.68754,-73.3029,-70.6619
3,20.720907,-69.4557,-70.2345
3,20.754274,-65.1811,-70.2345
3,20.787641,-60.6764,-69.9386
3,20.821008,-56.632,-70.2345
3,20.854375,-51.588,-69.636
3,20.887742,-47.2279,-69.3795
3,20.921109,-42.3549,-69.2941
3,20.954476,-37.3963,-69.807
3,20.987843,-33.8057,-69.2941
3,21.02121,-29.3732,-68.1629
3,21.054577,-24.5725,-68.9521
3,21.087944,-19.443,-66.3873
3,21.121311,-16.1944,-66.9003
3,21.154678,-11.7488,-67.2423
3,21.188045,-7.81617,-66.5583
3,21.221412,-3.54158,-66.5583
3,21.254779,1.41693,-66.2164
3,21.288146,5.34959,-67.2423
3,21.321513,8.76926,-66.3873
3,21.35488,13.3858,-66.2164
3,21.388247,17.1474,-66.0454
3,21.421614,21.2511,-65.7034
3,21.454981,25.8676,-66.3873
3,21.488348,29.2873,-65.5324
3,21.521715,33.5619,-66.3873
3,21.555082,38.6914,-66.3873
3,21.588449,41.2561,-65.5324
3,21.621816,45.5307,-66.3873
3,21.655183,49.2923,-66.2164
